OrderID,Date,Region,Product,Quantity,UnitPrice,Revenue
2001,2023-01-01,South,Widget B,2,17.3,34.6
2002,2023-01-01,West,Widget A,8,9.9,79.2
2003,2023-01-01,East,Widget A,3,9.36,28.08
2004,2023-01-02,West,Widget C,6,87.64,525.84
2005,2023-01-02,North,Gadget X,9,46.25,416.25
2006,2023-01-02,West,Widget B,6,20.72,124.32
2007,2023-01-02,East,Widget B,10,17.61,176.1
2008,2023-01-02,East,Widget A,2,10.88,21.76
2009,2023-01-02,North,Widget C,8,94.45,755.6
2010,2023-01-03,East,Widget C,10,94.18,941.8
2011,2023-01-03,West,Widget B,8,17.86,142.88
2012,2023-01-03,North,Gadget X,9,40.99,368.91
2013,2023-01-03,East,Widget A,2,10.38,20.76
2014,2023-01-03,East,Widget A,8,10.52,84.16
2015,2023-01-03,North,Widget B,5,21.41,107.05
2016,2023-01-04,East,Widget B,9,18.22,163.98
2017,2023-01-04,North,Widget C,3,80.15,240.45
2018,2023-01-05,West,Widget A,8,9.05,72.4
2019,2023-01-05,South,Gadget Y,7,71.39,499.73
2020,2023-01-05,East,Widget A,4,10.53,42.12
2021,2023-01-05,West,Widget C,3,95.96,287.88
2022,2023-01-06,West,Gadget Y,7,60.19,421.33
2023,2023-01-06,South,Widget C,7,89.84,628.88
2024,2023-01-06,North,Gadget Y,4,56.28,225.12
2025,2023-01-06,West,Widget B,5,18.94,94.7
2026,2023-01-07,South,Gadget Y,7,63.57,444.99
2027,2023-01-07,East,Widget B,6,16.35,98.1
2028,2023-01-08,South,Widget B,10,20.59,205.9
2029,2023-01-08,West,Widget B,9,19.16,172.44
2030,2023-01-09,East,Widget A,10,11.81,118.1
2031,2023-01-10,North,Widget C,10,91.01,910.1
2032,2023-01-11,South,Widget A,2,10.79,21.58
2033,2023-01-11,North,Widget B,4,19.21,76.84
2034,2023-01-11,East,Widget A,9,10.07,90.63
2035,2023-01-11,South,Widget A,3,9.84,29.52
2036,2023-01-11,West,Gadget Y,6,58.45,350.7
2037,2023-01-11,South,Widget B,4,20.82,83.28
2038,2023-01-12,East,Widget C,3,78.9,236.7
2039,2023-01-12,South,Widget B,3,16.56,49.68
2040,2023-01-12,West,Widget A,5,9.82,49.1
2041,2023-01-12,East,Widget A,1,10.73,10.73
2042,2023-01-12,East,Gadget X,6,40.87,245.22
2043,2023-01-13,North,Widget A,10,10.23,102.3
2044,2023-01-13,East,Gadget Y,8,56.7,453.6
2045,2023-01-13,South,Widget A,6,11.84,71.04
2046,2023-01-13,South,Widget A,6,9.09,54.54
2047,2023-01-14,West,Widget B,2,18.51,37.02
2048,2023-01-14,West,Widget B,5,17.27,86.35
2049,2023-01-14,East,Widget A,7,11.47,80.29
